random,nsamples,linear,best_accuracy,mean_accuracy,std_accuracy
0,500,True,0.7599096555618294,0.750016939582157,0.007163251495020772
0.01,500,True,0.7846038019951064,0.7610690758516845,0.0137316281288881
0.05,500,True,0.7846038019951064,0.7613551665725579,0.012235048396304309
0.01,500,False,0.799510634293243,0.7695990965556183,0.019031298873832914
0.05,500,False,0.799510634293243,0.7546207415772633,0.021343377241679444
