linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
False,0.01,0.01,50,1.0,0,0,3,0
