train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
False,0.1,0.1,4,500,500,500,1000,0.6747252747252748,2156,1772,1528,4
False,0.1,0.1,4,500,500,500,1000,0.7225274725274725,2160,1515,1785,0
False,0.1,0.1,4,500,500,500,1000,0.6798534798534799,2160,1748,1552,0
False,0.1,0.1,4,500,500,500,1000,0.6377289377289377,2143,1961,1339,17
False,0.1,0.1,4,500,500,1000,100,0.6602564102564102,2157,1852,1448,3
False,0.1,0.1,4,500,500,1000,100,0.7117216117216117,2160,1574,1726,0
False,0.1,0.1,4,500,500,1000,100,0.6783882783882784,2122,1718,1582,38
False,0.1,0.1,4,500,500,1000,100,0.6485347985347986,2160,1919,1381,0
False,0.1,0.1,4,500,500,1000,100,0.7098901098901099,2133,1557,1743,27
False,0.1,0.1,4,500,500,1000,100,0.7120879120879121,2144,1556,1744,16
False,0.1,0.1,4,500,500,1000,100,0.6532967032967033,2160,1893,1407,0
False,0.1,0.1,4,500,500,1000,100,0.7042124542124543,2156,1611,1689,4
False,0.1,0.1,4,500,500,1000,100,0.7183150183150183,2160,1538,1762,0
False,0.1,0.1,4,500,500,1000,100,0.6573260073260073,1819,1530,1770,341
False,0.1,0.1,4,500,500,1000,500,0.6992673992673992,2146,1628,1672,14
False,0.1,0.1,4,500,500,1000,500,0.639010989010989,2064,1875,1425,96
False,0.1,0.1,4,500,500,1000,500,0.734065934065934,2136,1428,1872,24
False,0.1,0.1,4,500,500,1000,500,0.7047619047619048,2160,1612,1688,0
False,0.1,0.1,4,500,500,1000,500,0.6725274725274726,2052,1680,1620,108
False,0.1,0.1,4,500,500,1000,500,0.6862637362637363,2157,1710,1590,3
False,0.1,0.1,4,500,500,1000,500,0.7738095238095238,2159,1234,2066,1
False,0.1,0.1,4,500,500,1000,500,0.6963369963369963,2159,1657,1643,1
False,0.1,0.1,4,500,500,1000,500,0.6904761904761905,2160,1690,1610,0
False,0.1,0.1,4,500,500,1000,500,0.7133699633699634,2160,1565,1735,0
False,0.1,0.1,4,500,500,1000,1000,0.7432234432234432,2160,1402,1898,0
False,0.1,0.1,4,500,500,1000,1000,0.7529304029304029,2160,1349,1951,0
False,0.1,0.1,4,500,500,1000,1000,0.7001831501831501,2160,1637,1663,0
False,0.1,0.1,4,500,500,1000,1000,0.7034798534798535,2160,1619,1681,0
False,0.1,0.1,4,500,500,1000,1000,0.6957875457875458,2158,1659,1641,2
False,0.1,0.1,4,500,500,1000,1000,0.7245421245421245,2160,1504,1796,0
False,0.1,0.1,4,500,500,1000,1000,0.6642857142857143,2158,1831,1469,2
False,0.1,0.1,4,500,500,1000,1000,0.7287545787545787,2158,1479,1821,2
False,0.1,0.1,4,500,500,1000,1000,0.7342490842490842,2139,1430,1870,21
False,0.1,0.1,4,500,500,1000,1000,0.7353479853479854,2160,1445,1855,0
