KME,E,K,best_score,mean_score,var_score
minimal,500,200,0.8484848484848485,77.73737373737373,49.508213447607375
minimal,500,400,0.8424242424242424,78.38383838383838,15.625956535047417
minimal,500,800,0.8313131313131313,79.03030303030303,16.996224875012732
minimal,1000,200,0.8505050505050505,78.08080808080808,38.67462503826141
minimal,1000,400,0.8333333333333334,78.86868686868688,9.924497500255082
minimal,1000,800,0.8353535353535354,79.53535353535354,17.317620650953984
minimal,1500,200,0.8454545454545455,78.30303030303031,32.93745536169777
minimal,1500,400,0.8434343434343434,79.95959595959596,8.37465564738293
minimal,1500,800,0.8333333333333334,79.63636363636364,15.450464238343033
4,500,200,0.8424242424242424,81.65656565656566,8.818487909396998
4,500,400,0.8606060606060606,82.26262626262627,10.757065605550446
4,500,800,0.8555555555555555,81.51515151515152,17.0441791653913
4,1000,200,0.8474747474747475,82.20202020202021,5.251504948474662
4,1000,400,0.8565656565656565,82.32323232323232,12.998673604734202
4,1000,800,0.8525252525252526,81.65656565656566,16.85848382818082
4,1500,200,0.8484848484848485,82.42424242424242,6.1167227833894415
4,1500,400,0.8656565656565657,82.94949494949495,11.822263034384239
4,1500,800,0.8575757575757575,81.35353535353535,22.011019283746567
marginal,500,200,0.4212121212121212,40.74747474747475,1.0182634425058663
marginal,500,400,0.4131313131313131,40.64646464646465,0.19691868176716734
marginal,500,800,0.4212121212121212,40.92929292929293,0.44587287011529086
marginal,1000,200,0.42323232323232324,40.92929292929293,0.8999081726354469
marginal,1000,400,0.4131313131313131,40.62626262626263,0.1907968574635247
marginal,1000,800,0.4131313131313131,40.60606060606061,0.24997449239873396
marginal,1500,200,0.4161616161616162,40.64646464646465,0.5183144577083972
marginal,1500,400,0.4101010101010101,40.62626262626263,0.0530558106315685
marginal,1500,800,0.41414141414141414,40.666666666666664,0.22242628303234363
