KME,E,K,best_score,mean_score,var_score
minimal,500,200,0.7494949494949495,67.91919191919192,20.623405774920926
minimal,500,400,0.7636363636363637,70.84848484848484,28.597081930415285
minimal,500,800,0.7595959595959596,70.26262626262626,44.98316498316501
minimal,1000,200,0.7878787878787878,69.77777777777777,41.75798387919595
minimal,1000,400,0.7666666666666667,72.04040404040404,37.14110805019897
minimal,1000,800,0.7727272727272727,70.98989898989899,52.77726762575247
minimal,1500,200,0.7595959595959596,68.64646464646465,29.336802367105378
minimal,1500,400,0.7616161616161616,71.93939393939394,32.30486685032144
minimal,1500,800,0.7727272727272727,70.94949494949495,59.20620344862769
4,500,200,0.7787878787878788,72.64646464646465,26.499336802367086
4,500,400,0.7707070707070707,73.95959595959596,17.433935312723218
4,500,800,0.7616161616161616,72.88888888888889,17.072747678808298
4,1000,200,0.7868686868686868,72.76767676767678,25.862667074788252
4,1000,400,0.7717171717171717,74.06060606060606,20.39281705948373
4,1000,800,0.7656565656565657,72.74747474747475,13.949596979900008
4,1500,200,0.7919191919191919,72.70707070707071,27.585960616263655
4,1500,400,0.7838383838383839,74.88888888888889,23.883277216610598
4,1500,800,0.7636363636363637,73.01010101010101,15.811651872257988
marginal,500,200,0.43333333333333335,41.333333333333336,1.3029282726252436
marginal,500,400,0.4131313131313131,40.525252525252526,0.7315580042852762
marginal,500,800,0.4080808080808081,40.60606060606061,0.02040608101214206
marginal,1000,200,0.4121212121212121,40.86868686868687,0.06938067544128064
marginal,1000,400,0.4111111111111111,40.343434343434346,0.8039995918783787
marginal,1000,800,0.40606060606060607,40.58585858585859,0.0020406081012142776
marginal,1500,200,0.4101010101010101,40.66666666666667,0.06938067544128121
marginal,1500,400,0.4121212121212121,40.42424242424243,0.6244260789715322
marginal,1500,800,0.4070707070707071,40.62626262626263,0.0020406081012139905
extra,500,200,0.7747474747474747,72.06060606060606,30.357106417712462
extra,500,400,0.7747474747474747,70.84848484848484,28.234873992449767
extra,500,800,0.7565656565656566,71.83838383838383,22.586470768288923
extra,1000,200,0.7686868686868686,71.95959595959596,27.26048362411998
extra,1000,400,0.7727272727272727,71.71717171717171,23.242526272829313
extra,1000,800,0.798989898989899,73.63636363636363,32.858891949801055
extra,1500,200,0.7737373737373737,72.20202020202021,28.12672176308537
extra,1500,400,0.7686868686868686,73.05050505050505,22.443628201203914
extra,1500,800,0.794949494949495,73.47474747474747,27.908376696255523
