KME,E,K,best_score,mean_score,var_score
minimal,500,200,0.7272727272727273,67.75757575757575,38.457300275482105
minimal,500,400,0.7606060606060606,68.78787878787878,32.70584634221001
minimal,500,800,0.8505050505050505,69.07070707070707,113.96490154065914
minimal,1000,200,0.7909090909090909,68.5050505050505,64.29650035710644
minimal,1000,400,0.7494949494949495,67.65656565656566,37.697173757779815
minimal,1000,800,0.8646464646464647,69.5959595959596,113.73329252117126
minimal,1500,200,0.7838383838383839,68.46464646464646,61.49066421793699
minimal,1500,400,0.7515151515151515,68.42424242424242,32.872155902458886
minimal,1500,800,0.8606060606060606,69.17171717171718,111.83756759514338
4,500,200,0.7606060606060606,72.12121212121212,27.201305989184792
4,500,400,0.8080808080808081,75.0909090909091,34.95357616569735
4,500,800,0.7858585858585858,72.78787878787878,27.439036832976225
4,1000,200,0.7585858585858586,71.87878787878788,30.780532598714363
4,1000,400,0.7919191919191919,75.03030303030303,27.443118049178626
4,1000,800,0.7737373737373737,73.07070707070707,25.55147433935314
4,1500,200,0.7606060606060606,71.71717171717172,30.593816957453296
4,1500,400,0.798989898989899,74.72727272727273,34.748495051525325
4,1500,800,0.7696969696969697,72.92929292929293,23.089480665238217
marginal,500,200,0.41919191919191917,40.86868686868687,0.3499642893582268
marginal,500,400,0.4121212121212121,40.82828282828283,0.06325885113763831
marginal,500,800,0.40606060606060607,40.60606060606061,0.0
marginal,1000,200,0.42828282828282827,41.111111111111114,0.9590858075706503
marginal,1000,400,0.4101010101010101,40.64646464646465,0.08978675645342349
marginal,1000,800,0.4070707070707071,40.62626262626263,0.0020406081012139905
marginal,1500,200,0.4212121212121212,40.909090909090914,0.45913682277318235
marginal,1500,400,0.40606060606060607,40.484848484848484,0.047954290378534166
marginal,1500,800,0.4121212121212121,40.72727272727273,0.07346189164370884
