linear,b,d,nsamples,linear,best_accuracy,mean_accuracy,std_accuracy
[False],0.05,0.05,200,False,0.6195286195286196,0.5481481481481482,0.05401160376711442
[False],0.05,0.05,500,False,0.7683501683501683,0.648956228956229,0.1088008156066613
[False],0.05,0.05,1000,False,0.85993265993266,0.712368125701459,0.1266568311902108
[False],0.05,0.05,2000,False,0.9158249158249159,0.7584175084175084,0.13574292365883284
