0,1,2
6.052804947531687e-07,-3.2063376217972284e-08,-6.37343870971141e-07
-5.6793651310727e-06,-2.980946737807244e-05,-2.413010224699974e-05
7.211284236419147e-08,6.348711778514371e-08,-8.625724579047755e-09
-4.009429176221602e-06,-3.254115381423617e-05,-2.8531724638014566e-05
-1.4615588006527958e-07,4.514855385107097e-07,5.976414185759893e-07
-2.3327326853359515e-11,-2.84660541391183e-11,-5.138727285758787e-12
-9.84319087848906e-07,-7.188541703562201e-08,9.124336708132841e-07
5.489378236234188e-05,0.00010828388622030616,5.339010385796428e-05
1.1625532010839379e-05,1.645037912112457e-05,4.824847110285191e-06
-4.2730292193482455e-07,-4.0234317566500977e-07,2.4959746269814787e-08
1.2457670628407413e-07,-2.0158437497030945e-07,-3.261610812543836e-07
-5.926934534272732e-07,1.6201391872527893e-06,2.2128326406800625e-06
3.564089965379935e-07,-3.90042778519728e-07,-7.464517750577215e-07
1.9781020976772368e-07,6.696452947707598e-08,-1.308456802906477e-07
-1.7941820473765802e-07,-7.122405776271989e-07,-5.328223728895409e-07
-2.3201992007670924e-06,1.209200854646042e-05,1.4412207747227512e-05
-1.3707031030207872e-06,-1.0237938113277778e-05,-8.86723501025699e-06
8.328876646146455e-07,-4.938906002394106e-06,-5.771793667008751e-06
-3.6758895149979764e-08,-3.4499805234844416e-08,2.2590899151353483e-09
-2.9288279135286643e-08,3.503129689108597e-08,6.431957602637262e-08
9.306258874630657e-09,-1.3471986903823563e-07,-1.4402612791286629e-07
5.729338177218324e-07,-6.550628217638632e-07,-1.2279966394856956e-06
5.9997805692546535e-06,5.13355371367652e-06,-8.662268555781338e-07
-5.1828683353960514e-05,-2.3409978894051164e-05,2.841870445990935e-05
