0,1,2
5.8817073302463996e-05,-2.6577812093364628e-06,-6.147485451180046e-05
-0.0002532500511733815,4.3649291910696775e-05,0.0002968993430840783
4.8187983338721097e-05,-9.052623136085458e-05,-0.00013871421469957568
1.461440748840026e-05,1.7851648654865215e-06,-1.2829242622913739e-05
7.979891331721944e-06,7.283712124994679e-06,-6.961792067272654e-07
-4.741606880998006e-05,1.6096064427983947e-06,4.9025675252778456e-05
3.887339903485554e-05,4.989636431673716e-05,1.1022965281881625e-05
0.0003519335568853421,2.012527511396911e-05,-0.000331808281771373
-2.398972324613169e-05,-6.199501854098344e-07,2.3369773060721855e-05
4.3523663219247055e-05,4.322400430645246e-05,-2.996589127945981e-07
5.982670529647294e-06,-9.462245600388997e-06,-1.544491613003629e-05
9.348002913611708e-05,6.091331124480348e-05,-3.25667178913136e-05
6.758238364767966e-07,2.565360650852444e-07,-4.1928777139155216e-07
-7.284928700973525e-07,-7.995381436226578e-07,-7.104527352530532e-08
1.0634635884798627e-05,-2.0826071107649113e-06,-1.2717242995563538e-05
-2.3357594257505943e-06,-1.5664743740900766e-06,7.692850516605176e-07
-1.9975321265519597e-05,-8.31483121146448e-05,-6.31729908491252e-05
1.6272915559056855e-05,7.783685418871755e-06,-8.4892301401851e-06
-6.487715950243e-05,-1.5845648476897622e-05,4.903151102553238e-05
2.2944777697375685e-05,1.5001298606875935e-05,-7.94347909049975e-06
-0.0003925759228877723,-0.0002882233093259856,0.00010435261356178671
-2.5184917376464e-05,-3.4198704611299036e-05,-9.013787234835036e-06
-4.1576544390409254e-05,-0.00013443620991893113,-9.285966552852187e-05
-8.351296514774731e-06,-1.57761387526989e-05,-7.424842237924167e-06
-3.8124721299936937e-06,-1.096940547995473e-05,-7.156933349961037e-06
2.203547558421448e-06,1.8107192727434551e-06,-3.92828285677993e-07
-2.5274103954586735e-05,-4.320858194972743e-05,-1.7934477995140696e-05
4.648240150117999e-05,6.102447497369212e-05,1.454207347251213e-05
-3.0132037913688237e-06,6.564678759701792e-06,9.577882551070616e-06
0.0001790716269169934,0.00024230189956142567,6.323027264443226e-05
-9.369121471536346e-06,-5.5435479453080916e-05,-4.606635798154457e-05
