train_lin,b,d,KME,E,K,n_samples,n_distributions,score,trueneg,falseneg,truepos,falsepos
False,0.1,0.1,4,100,1000,50,100,0.6194702442380461,6791,4335,2213,1196
False,0.1,0.1,4,100,1000,50,100,0.6194702442380461,7105,4649,1899,882
False,0.1,0.1,4,100,1000,50,100,0.5810801513587891,6620,4722,1826,1367
False,0.1,0.1,4,100,1000,50,100,0.6394220846233231,6879,4133,2415,1108
False,0.1,0.1,4,100,1000,50,100,0.6125214998280014,7086,4731,1817,901
False,0.1,0.1,4,100,1000,50,100,0.6480220158238734,7112,4241,2307,875
False,0.1,0.1,4,100,1000,50,100,0.5818369453044375,6767,4858,1690,1220
False,0.1,0.1,4,100,1000,50,100,0.6139662882696938,7044,4668,1880,943
False,0.1,0.1,4,100,1000,50,100,0.6297901616787066,6822,4216,2332,1165
False,0.1,0.1,4,100,1000,50,100,0.6241486068111455,6992,4468,2080,995
False,0.1,0.1,4,500,1000,50,100,0.6207086343309254,6811,4337,2211,1176
False,0.1,0.1,4,500,1000,50,100,0.6212590299277606,7112,4630,1918,875
False,0.1,0.1,4,500,1000,50,100,0.5844513243894048,6656,4709,1839,1331
False,0.1,0.1,4,500,1000,50,100,0.6388716890264878,6860,4122,2426,1127
False,0.1,0.1,4,500,1000,50,100,0.613484692122463,7141,4772,1776,846
False,0.1,0.1,4,500,1000,50,100,0.6487100103199175,7115,4234,2314,872
False,0.1,0.1,4,500,1000,50,100,0.5834193326453389,6833,4901,1647,1154
False,0.1,0.1,4,500,1000,50,100,0.6171310629514963,7077,4655,1893,910
False,0.1,0.1,4,500,1000,50,100,0.6310973512211903,6862,4237,2311,1125
False,0.1,0.1,4,500,1000,50,100,0.6271069831441348,7025,4458,2090,962
False,0.1,0.1,4,1000,1000,50,100,0.621671826625387,6797,4309,2239,1190
False,0.1,0.1,4,1000,1000,50,100,0.6208462332301341,7114,4638,1910,873
False,0.1,0.1,4,1000,1000,50,100,0.5847265221878225,6655,4704,1844,1332
False,0.1,0.1,4,1000,1000,50,100,0.6395596835225318,6867,4119,2429,1120
False,0.1,0.1,4,1000,1000,50,100,0.6143102855177158,7149,4768,1780,838
False,0.1,0.1,4,1000,1000,50,100,0.646921224630203,7105,4250,2298,882
False,0.1,0.1,4,1000,1000,50,100,0.5838321293429652,6804,4866,1682,1183
False,0.1,0.1,4,1000,1000,50,100,0.6166494668042656,7054,4639,1909,933
False,0.1,0.1,4,1000,1000,50,100,0.6304093567251462,6848,4233,2315,1139
False,0.1,0.1,4,1000,1000,50,100,0.6267629858961128,7022,4460,2088,965
False,0.1,0.1,4,100,100,50,500,0.618782249742002,7285,4839,1709,702
False,0.1,0.1,4,100,100,50,500,0.6676986584107327,7163,4006,2542,824
False,0.1,0.1,4,100,100,50,500,0.6416236670106639,6857,4079,2469,1130
False,0.1,0.1,4,100,100,50,500,0.6398348813209495,7121,4369,2179,866
False,0.1,0.1,4,100,100,50,500,0.5547299621603027,6903,5388,1160,1084
False,0.1,0.1,4,100,100,50,500,0.6222222222222222,6951,4455,2093,1036
False,0.1,0.1,4,100,100,50,500,0.6248366013071895,7169,4635,1913,818
False,0.1,0.1,4,100,100,50,500,0.5897488820089439,7104,5080,1468,883
False,0.1,0.1,4,100,100,50,500,0.6002063983488132,6693,4517,2031,1294
False,0.1,0.1,4,100,100,50,500,0.6357757137942897,7021,4328,2220,966
False,0.1,0.1,4,500,100,50,500,0.6229102167182663,7325,4819,1729,662
False,0.1,0.1,4,500,100,50,500,0.6696938424492604,7160,3974,2574,827
False,0.1,0.1,4,500,100,50,500,0.6430684554523564,6829,4030,2518,1158
False,0.1,0.1,4,500,100,50,500,0.6405228758169934,7111,4349,2199,876
False,0.1,0.1,4,500,100,50,500,0.5545235638114895,6875,5363,1185,1112
False,0.1,0.1,4,500,100,50,500,0.6252493980048159,6958,4418,2130,1029
False,0.1,0.1,4,500,100,50,500,0.6296525627794978,7219,4615,1933,768
False,0.1,0.1,4,500,100,50,500,0.5905056759545924,7111,5076,1472,876
False,0.1,0.1,4,500,100,50,500,0.6017887856897145,6692,4493,2055,1295
False,0.1,0.1,4,500,100,50,500,0.6401788785689715,7055,4298,2250,932
False,0.1,0.1,4,1000,100,50,500,0.6239422084623323,7342,4821,1727,645
False,0.1,0.1,4,1000,100,50,500,0.6701754385964912,7173,3980,2568,814
False,0.1,0.1,4,1000,100,50,500,0.6441692466460268,6835,4020,2528,1152
False,0.1,0.1,4,1000,100,50,500,0.6418988648090815,7122,4340,2208,865
False,0.1,0.1,4,1000,100,50,500,0.556312349501204,6901,5363,1185,1086
False,0.1,0.1,4,1000,100,50,500,0.6253181974544204,6968,4427,2121,1019
False,0.1,0.1,4,1000,100,50,500,0.6310973512211903,7231,4606,1942,756
False,0.1,0.1,4,1000,100,50,500,0.590436876504988,7119,5085,1463,868
False,0.1,0.1,4,1000,100,50,500,0.6011695906432749,6697,4507,2041,1290
False,0.1,0.1,4,1000,100,50,500,0.6401788785689715,7061,4304,2244,926
False,0.1,0.1,4,100,500,50,500,0.6239422084623323,7227,4706,1842,760
False,0.1,0.1,4,100,500,50,500,0.6701754385964912,7181,3988,2560,806
False,0.1,0.1,4,100,500,50,500,0.6456140350877193,6876,4040,2508,1111
False,0.1,0.1,4,100,500,50,500,0.6429308565531475,7093,4296,2252,894
False,0.1,0.1,4,100,500,50,500,0.5556243550051599,6916,5388,1160,1071
False,0.1,0.1,4,100,500,50,500,0.6243550051599587,6912,4385,2163,1075
False,0.1,0.1,4,100,500,50,500,0.6335053319573444,7211,4551,1997,776
False,0.1,0.1,4,100,500,50,500,0.5913312693498453,7010,4963,1585,977
False,0.1,0.1,4,100,500,50,500,0.596078431372549,6723,4607,1941,1264
False,0.1,0.1,4,100,500,50,500,0.6407292741658067,7035,4270,2278,952
False,0.1,0.1,4,500,500,50,500,0.6248366013071895,7223,4689,1859,764
