linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.1,0.1,100,0.1,0.7023809523809523,799,264,3036,1361,0
False,0.1,0.1,100,0.001,0.6141025641025641,54,1,3299,2106,0
False,0.1,0.1,100,0.005,0.6311355311355311,155,9,3291,2005,0
False,0.1,0.1,100,0.01,0.6461538461538461,243,15,3285,1917,0
False,0.1,0.1,100,0.05,0.7001831501831501,597,74,3226,1563,0
False,0.1,0.1,100,0.1,0.7421245421245422,885,133,3167,1275,0
False,0.1,0.1,100,0.001,0.6170329670329671,83,14,3286,2077,0
False,0.1,0.1,100,0.005,0.6289377289377289,166,32,3268,1994,0
False,0.1,0.1,100,0.01,0.6355311355311355,220,50,3250,1940,0
False,0.1,0.1,100,0.05,0.6855311355311355,589,146,3154,1571,0
False,0.1,0.1,100,0.1,0.7128205128205128,864,272,3028,1296,0
False,0.1,0.1,100,0.001,0.6203296703296703,104,17,3283,2056,0
False,0.1,0.1,100,0.005,0.6353479853479853,211,42,3258,1949,0
False,0.1,0.1,100,0.01,0.6434065934065933,279,66,3234,1881,0
False,0.1,0.1,100,0.05,0.6844322344322344,603,166,3134,1557,0
False,0.1,0.1,100,0.1,0.7023809523809523,827,292,3008,1333,0
False,0.1,0.1,100,0.001,0.6181318681318682,81,6,3294,2079,0
False,0.1,0.1,100,0.005,0.6304029304029304,173,31,3269,1987,0
False,0.1,0.1,100,0.01,0.6445054945054944,271,52,3248,1889,0
False,0.1,0.1,100,0.05,0.701098901098901,681,153,3147,1479,0
False,0.1,0.1,100,0.1,0.7272893772893774,955,284,3016,1205,0
False,0.1,0.1,100,0.001,0.6183150183150183,82,6,3294,2078,0
False,0.1,0.1,100,0.005,0.6274725274725275,144,18,3282,2016,0
False,0.1,0.1,100,0.01,0.6335164835164835,197,38,3262,1963,0
False,0.1,0.1,100,0.05,0.6675824175824177,496,151,3149,1664,0
False,0.1,0.1,100,0.1,0.6847985347985348,720,281,3019,1440,0
False,0.1,0.1,500,0.001,0.7571428571428571,968,134,3166,1192,0
False,0.1,0.1,500,0.005,0.7833333333333333,1194,217,3083,966,0
False,0.1,0.1,500,0.01,0.7954212454212455,1322,279,3021,838,0
False,0.1,0.1,500,0.05,0.8091575091575092,1639,521,2779,521,0
False,0.1,0.1,500,0.1,0.7985347985347986,1766,706,2594,394,0
False,0.1,0.1,500,0.001,0.6827838827838828,987,559,2741,1173,0
False,0.1,0.1,500,0.005,0.6899267399267399,1180,713,2587,980,0
False,0.1,0.1,500,0.01,0.6857142857142857,1236,792,2508,924,0
False,0.1,0.1,500,0.05,0.678937728937729,1440,1033,2267,720,0
False,0.1,0.1,500,0.1,0.6690476190476191,1555,1202,2098,605,0
False,0.1,0.1,500,0.001,0.7534798534798535,1002,188,3112,1158,0
False,0.1,0.1,500,0.005,0.7851648351648352,1277,290,3010,883,0
False,0.1,0.1,500,0.01,0.7926739926739926,1378,350,2950,782,0
False,0.1,0.1,500,0.05,0.7847985347985348,1606,621,2679,554,0
False,0.1,0.1,500,0.1,0.773992673992674,1726,800,2500,434,0
False,0.1,0.1,500,0.001,0.7884615384615384,1112,107,3193,1048,0
False,0.1,0.1,500,0.005,0.8362637362637363,1413,147,3153,747,0
False,0.1,0.1,500,0.01,0.8536630036630036,1531,170,3130,629,0
False,0.1,0.1,500,0.05,0.8769230769230769,1782,294,3006,378,0
False,0.1,0.1,500,0.1,0.8648351648351649,1858,436,2864,302,0
False,0.1,0.1,500,0.001,0.7633699633699633,971,103,3197,1189,0
False,0.1,0.1,500,0.005,0.7970695970695971,1275,223,3077,885,0
False,0.1,0.1,500,0.01,0.806959706959707,1400,294,3006,760,0
False,0.1,0.1,500,0.05,0.8177655677655677,1708,543,2757,452,0
False,0.1,0.1,500,0.1,0.8086080586080586,1820,705,2595,340,0
False,0.1,0.1,500,0.001,0.8091575091575092,1181,63,3237,979,0
False,0.1,0.1,500,0.005,0.8435897435897436,1451,145,3155,709,0
False,0.1,0.1,500,0.01,0.8542124542124542,1561,197,3103,599,0
False,0.1,0.1,500,0.05,0.8580586080586081,1823,438,2862,337,0
False,0.1,0.1,500,0.1,0.8492673992673992,1920,583,2717,240,0
False,0.1,0.1,500,0.001,0.6591575091575091,943,644,2656,1217,0
False,0.1,0.1,500,0.005,0.6631868131868132,1096,775,2525,1064,0
False,0.1,0.1,500,0.01,0.660989010989011,1159,850,2450,1001,0
False,0.1,0.1,500,0.05,0.6474358974358974,1347,1112,2188,813,0
False,0.1,0.1,500,0.1,0.63003663003663,1448,1308,1992,712,0
False,0.1,0.1,500,0.001,0.8287545787545787,1246,21,3279,914,0
False,0.1,0.1,500,0.005,0.8723443223443224,1519,56,3244,641,0
False,0.1,0.1,500,0.01,0.891025641025641,1638,73,3227,522,0
False,0.1,0.1,500,0.05,0.9115384615384615,1894,217,3083,266,0
False,0.1,0.1,500,0.1,0.9032967032967033,1985,353,2947,175,0
False,0.1,0.1,500,0.001,0.8382783882783883,1323,46,3254,837,0
False,0.1,0.1,500,0.005,0.8606227106227107,1494,95,3205,666,0
False,0.1,0.1,500,0.01,0.8668498168498169,1569,136,3164,591,0
False,0.1,0.1,500,0.05,0.8721611721611722,1786,324,2976,374,0
False,0.1,0.1,500,0.1,0.8556776556776557,1861,489,2811,299,0
False,0.1,0.1,500,0.001,0.8076923076923077,1144,34,3266,1016,0
False,0.1,0.1,500,0.005,0.8388278388278388,1352,72,3228,808,0
False,0.1,0.1,500,0.01,0.8518315018315018,1451,100,3200,709,0
False,0.1,0.1,500,0.05,0.8604395604395605,1652,254,3046,508,0
False,0.1,0.1,500,0.1,0.8457875457875458,1730,412,2888,430,0
False,0.1,0.1,1000,0.001,0.8935897435897436,1641,62,3238,519,0
False,0.1,0.1,1000,0.005,0.9126373626373626,1801,118,3182,359,0
False,0.1,0.1,1000,0.01,0.9163003663003663,1852,149,3151,308,0
False,0.1,0.1,1000,0.05,0.906959706959707,1966,314,2986,194,0
False,0.1,0.1,1000,0.1,0.8833333333333333,2021,498,2802,139,0
False,0.1,0.1,1000,0.001,0.8424908424908425,1512,212,3088,648,0
False,0.1,0.1,1000,0.005,0.8595238095238096,1708,315,2985,452,0
False,0.1,0.1,1000,0.01,0.8611721611721612,1779,377,2923,381,0
False,0.1,0.1,1000,0.05,0.8335164835164836,1918,667,2633,242,0
False,0.1,0.1,1000,0.1,0.8056776556776557,1977,878,2422,183,0
False,0.1,0.1,1000,0.001,0.9476190476190476,1875,1,3299,285,0
False,0.1,0.1,1000,0.005,0.9648351648351648,1983,15,3285,177,0
False,0.1,0.1,1000,0.01,0.9701465201465201,2020,23,3277,140,0
False,0.1,0.1,1000,0.05,0.9684981684981685,2112,124,3176,48,0
False,0.1,0.1,1000,0.1,0.947985347985348,2134,258,3042,26,0
False,0.1,0.1,1000,0.001,0.9556776556776557,1922,4,3296,238,0
False,0.1,0.1,1000,0.005,0.9765567765567765,2046,14,3286,114,0
False,0.1,0.1,1000,0.01,0.9805860805860805,2083,29,3271,77,0
False,0.1,0.1,1000,0.05,0.9646520146520147,2135,168,3132,25,0
False,0.1,0.1,1000,0.1,0.9375457875457875,2144,325,2975,16,0
False,0.1,0.1,1000,0.001,0.6532967032967033,1103,836,2464,1057,0
False,0.1,0.1,1000,0.005,0.6547619047619048,1182,907,2393,978,0
False,0.1,0.1,1000,0.01,0.6518315018315018,1213,954,2346,947,0
False,0.1,0.1,1000,0.05,0.6399267399267399,1342,1148,2152,818,0
False,0.1,0.1,1000,0.1,0.6338827838827839,1437,1276,2024,723,0
False,0.1,0.1,1000,0.001,0.7102564102564102,1160,582,2718,1000,0
False,0.1,0.1,1000,0.005,0.7177655677655678,1352,733,2567,808,0
False,0.1,0.1,1000,0.01,0.7141025641025641,1425,826,2474,735,0
False,0.1,0.1,1000,0.05,0.686996336996337,1623,1172,2128,537,0
False,0.1,0.1,1000,0.1,0.6617216117216117,1699,1386,1914,461,0
False,0.1,0.1,1000,0.001,0.8824175824175824,1648,130,3170,512,0
False,0.1,0.1,1000,0.005,0.8989010989010989,1794,186,3114,366,0
False,0.1,0.1,1000,0.01,0.9,1855,241,3059,305,0
False,0.1,0.1,1000,0.05,0.8864468864468864,1957,417,2883,203,0
False,0.1,0.1,1000,0.1,0.8710622710622711,2010,554,2746,150,0
False,0.1,0.1,1000,0.001,0.8754578754578755,1730,250,3050,430,0
False,0.1,0.1,1000,0.005,0.8897435897435897,1894,336,2964,266,0
False,0.1,0.1,1000,0.01,0.8919413919413919,1959,389,2911,201,0
False,0.1,0.1,1000,0.05,0.8745421245421245,2059,584,2716,101,0
False,0.1,0.1,1000,0.1,0.8478021978021978,2098,769,2531,62,0
False,0.1,0.1,1000,0.001,0.8238095238095238,1561,363,2937,599,0
False,0.1,0.1,1000,0.005,0.8417582417582418,1710,414,2886,450,0
False,0.1,0.1,1000,0.01,0.8470695970695971,1782,457,2843,378,0
False,0.1,0.1,1000,0.05,0.8443223443223443,1915,605,2695,245,0
False,0.1,0.1,1000,0.1,0.8309523809523809,1972,735,2565,188,0
False,0.1,0.1,1000,0.001,0.8,1343,275,3025,817,0
False,0.1,0.1,1000,0.005,0.8152014652014652,1517,366,2934,643,0
False,0.1,0.1,1000,0.01,0.8168498168498168,1585,425,2875,575,0
False,0.1,0.1,1000,0.05,0.8157509157509157,1807,653,2647,353,0
False,0.1,0.1,1000,0.1,0.7919413919413919,1889,865,2435,271,0
True,0,0,50,0.001,0.6058608058608059,8,0,3300,2152
True,0,0,50,0.005,0.615934065934066,63,0,3300,2097
True,0,0,50,0.01,0.6241758241758242,109,1,3299,2051
True,0,0,50,0.05,0.6686813186813187,400,49,3251,1760
True,0,0,50,0.1,0.6998168498168498,658,137,3163,1502
True,0,0,50,0.001,0.6062271062271063,10,0,3300,2150
True,0,0,50,0.005,0.6126373626373627,48,3,3297,2112
True,0,0,50,0.01,0.6172161172161172,78,8,3292,2082
True,0,0,50,0.05,0.6397435897435897,268,75,3225,1892
True,0,0,50,0.1,0.6613553113553113,518,207,3093,1642
True,0,0,50,0.001,0.6045787545787547,1,0,3300,2159
True,0,0,50,0.005,0.6056776556776557,10,3,3297,2150
True,0,0,50,0.01,0.6075091575091576,22,5,3295,2138
True,0,0,50,0.05,0.617948717948718,134,60,3240,2026
True,0,0,50,0.1,0.643040293040293,337,126,3174,1823
True,0,0,50,0.001,0.6047619047619048,2,0,3300,2158
True,0,0,50,0.005,0.6093406593406594,36,9,3291,2124
True,0,0,50,0.01,0.6120879120879121,60,18,3282,2100
True,0,0,50,0.05,0.6216117216117216,195,101,3199,1965
True,0,0,50,0.1,0.6333333333333333,394,236,3064,1766
True,0,0,50,0.001,0.6053113553113554,5,0,3300,2155
True,0,0,50,0.005,0.6087912087912088,31,7,3293,2129
True,0,0,50,0.01,0.6106227106227107,52,18,3282,2108
True,0,0,50,0.05,0.6364468864468864,278,103,3197,1882
True,0,0,50,0.1,0.6690476190476191,615,262,3038,1545
True,0,0,50,0.001,0.6053113553113554,5,0,3300,2155
True,0,0,50,0.005,0.6073260073260074,23,7,3293,2137
True,0,0,50,0.01,0.6102564102564103,46,14,3286,2114
True,0,0,50,0.05,0.6214285714285714,179,86,3214,1981
True,0,0,50,0.1,0.6439560439560439,360,144,3156,1800
True,0,0,50,0.001,0.6047619047619048,2,0,3300,2158
True,0,0,50,0.005,0.6071428571428572,15,0,3300,2145
True,0,0,50,0.01,0.6080586080586081,23,3,3297,2137
True,0,0,50,0.05,0.6172161172161172,120,50,3250,2040
True,0,0,50,0.1,0.6304029304029304,273,131,3169,1887
True,0,0,50,0.001,0.6051282051282052,4,0,3300,2156
True,0,0,50,0.005,0.6108058608058609,37,2,3298,2123
True,0,0,50,0.01,0.6141025641025641,63,10,3290,2097
True,0,0,50,0.05,0.6225274725274725,205,106,3194,1955
True,0,0,50,0.1,0.6459706959706959,440,213,3087,1720
True,0,0,50,0.001,0.604945054945055,3,0,3300,2157
True,0,0,50,0.005,0.6117216117216118,40,0,3300,2120
True,0,0,50,0.01,0.6142857142857143,63,9,3291,2097
True,0,0,50,0.05,0.6329670329670329,227,71,3229,1933
True,0,0,50,0.1,0.6578754578754579,469,177,3123,1691
True,0,0,50,0.001,0.6047619047619048,2,0,3300,2158
True,0,0,50,0.005,0.6111721611721612,37,0,3300,2123
True,0,0,50,0.01,0.615018315018315,61,3,3297,2099
True,0,0,50,0.05,0.6404761904761904,244,47,3253,1916
True,0,0,50,0.1,0.6752747252747253,492,105,3195,1668
True,0,0,100,0.001,0.6137362637362638,51,0,3300,2109
True,0,0,100,0.005,0.6307692307692307,152,8,3292,2008
True,0,0,100,0.01,0.6490842490842491,264,20,3280,1896
True,0,0,100,0.05,0.7126373626373627,701,110,3190,1459
True,0,0,100,0.1,0.7443223443223443,967,203,3097,1193
True,0,0,100,0.001,0.6080586080586081,23,3,3297,2137
True,0,0,100,0.005,0.6195970695970696,98,15,3285,2062
True,0,0,100,0.01,0.6315018315018315,172,24,3276,1988
True,0,0,100,0.05,0.6946886446886447,587,94,3206,1573
True,0,0,100,0.1,0.734981684981685,908,195,3105,1252
True,0,0,100,0.001,0.639010989010989,213,24,3276,1947
True,0,0,100,0.005,0.6681318681318682,408,60,3240,1752
True,0,0,100,0.01,0.686996336996337,548,97,3203,1612
True,0,0,100,0.05,0.7382783882783883,1002,271,3029,1158
True,0,0,100,0.1,0.7448717948717949,1195,428,2872,965
True,0,0,100,0.001,0.6093406593406594,27,0,3300,2133
True,0,0,100,0.005,0.6289377289377289,134,0,3300,2026
True,0,0,100,0.01,0.6452380952380952,223,0,3300,1937
True,0,0,100,0.05,0.7272893772893774,696,25,3275,1464
True,0,0,100,0.1,0.7710622710622711,1013,103,3197,1147
True,0,0,100,0.001,0.6091575091575092,29,3,3297,2131
True,0,0,100,0.005,0.6285714285714286,143,11,3289,2017
True,0,0,100,0.01,0.6467032967032966,249,18,3282,1911
True,0,0,100,0.05,0.7230769230769231,719,71,3229,1441
True,0,0,100,0.1,0.7712454212454213,1044,133,3167,1116
True,0,0,100,0.001,0.6106227106227107,34,0,3300,2126
True,0,0,100,0.005,0.6206959706959707,96,7,3293,2064
True,0,0,100,0.01,0.6298534798534798,154,15,3285,2006
True,0,0,100,0.05,0.6793040293040293,499,90,3210,1661
True,0,0,100,0.1,0.7152014652014652,777,172,3128,1383
True,0,0,100,0.001,0.6108058608058609,35,0,3300,2125
True,0,0,100,0.005,0.6243589743589744,110,1,3299,2050
True,0,0,100,0.01,0.6415750915750915,205,2,3298,1955
True,0,0,100,0.05,0.7175824175824176,657,39,3261,1503
True,0,0,100,0.1,0.7615384615384615,977,119,3181,1183
True,0,0,100,0.001,0.6064102564102565,11,0,3300,2149
True,0,0,100,0.005,0.6126373626373627,46,1,3299,2114
True,0,0,100,0.01,0.6206959706959707,91,2,3298,2069
True,0,0,100,0.05,0.6791208791208792,432,24,3276,1728
True,0,0,100,0.1,0.7258241758241758,756,93,3207,1404
True,0,0,100,0.001,0.617948717948718,74,0,3300,2086
True,0,0,100,0.005,0.6384615384615384,189,3,3297,1971
True,0,0,100,0.01,0.6573260073260073,296,7,3293,1864
True,0,0,100,0.05,0.7320512820512821,746,49,3251,1414
True,0,0,100,0.1,0.7772893772893773,1067,123,3177,1093
True,0,0,100,0.001,0.6131868131868132,48,0,3300,2112
True,0,0,100,0.005,0.6287545787545787,134,1,3299,2026
True,0,0,100,0.01,0.6465201465201464,232,2,3298,1928
True,0,0,100,0.05,0.7384615384615385,772,40,3260,1388
True,0,0,100,0.1,0.7904761904761904,1127,111,3189,1033
True,0,0,500,0.001,0.8818681318681318,1516,1,3299,644
True,0,0,500,0.005,0.9276556776556777,1778,13,3287,382
True,0,0,500,0.01,0.9446886446886447,1884,26,3274,276
True,0,0,500,0.05,0.9578754578754579,2055,125,3175,105
True,0,0,500,0.1,0.9377289377289377,2102,282,3018,58
True,0,0,500,0.001,0.8846153846153846,1531,1,3299,629
True,0,0,500,0.005,0.936996336996337,1818,2,3298,342
True,0,0,500,0.01,0.9545787545787546,1919,7,3293,241
True,0,0,500,0.05,0.9736263736263736,2086,70,3230,74
True,0,0,500,0.1,0.9606227106227107,2120,175,3125,40
True,0,0,500,0.001,0.8677655677655678,1438,0,3300,722
True,0,0,500,0.005,0.9305860805860806,1782,1,3299,378
True,0,0,500,0.01,0.9503663003663003,1893,4,3296,267
True,0,0,500,0.05,0.971062271062271,2051,49,3251,109
True,0,0,500,0.1,0.9681318681318681,2110,124,3176,50
True,0,0,500,0.001,0.873992673992674,1485,13,3287,675
True,0,0,500,0.005,0.9135531135531135,1726,38,3262,434
True,0,0,500,0.01,0.9245421245421246,1818,70,3230,342
True,0,0,500,0.05,0.926007326007326,1989,233,3067,171
True,0,0,500,0.1,0.906043956043956,2036,389,2911,124
True,0,0,500,0.001,0.841941391941392,1299,2,3298,861
True,0,0,500,0.005,0.8919413919413919,1586,16,3284,574
True,0,0,500,0.01,0.9153846153846154,1728,30,3270,432
True,0,0,500,0.05,0.9434065934065934,1977,126,3174,183
True,0,0,500,0.1,0.9358974358974359,2048,238,3062,112
True,0,0,500,0.001,0.8710622710622711,1456,0,3300,704
True,0,0,500,0.005,0.9344322344322344,1803,1,3299,357
True,0,0,500,0.01,0.9532967032967032,1909,4,3296,251
True,0,0,500,0.05,0.9750915750915751,2077,53,3247,83
True,0,0,500,0.1,0.9706959706959707,2118,118,3182,42
True,0,0,500,0.001,0.8985347985347986,1614,8,3292,546
True,0,0,500,0.005,0.9377289377289377,1848,28,3272,312
True,0,0,500,0.01,0.947985347985348,1919,43,3257,241
True,0,0,500,0.05,0.9584249084249085,2062,129,3171,98
True,0,0,500,0.1,0.9435897435897436,2100,248,3052,60
True,0,0,500,0.001,0.8893772893772893,1570,14,3286,590
True,0,0,500,0.005,0.9347985347985348,1833,29,3271,327
True,0,0,500,0.01,0.9463369963369963,1912,45,3255,248
True,0,0,500,0.05,0.9641025641025641,2086,122,3178,74
True,0,0,500,0.1,0.9512820512820512,2122,228,3072,38
True,0,0,500,0.001,0.8347985347985348,1272,14,3286,888
True,0,0,500,0.005,0.8853479853479853,1580,46,3254,580
True,0,0,500,0.01,0.8998168498168498,1683,70,3230,477
True,0,0,500,0.05,0.9250915750915751,1934,183,3117,226
True,0,0,500,0.1,0.9163003663003663,1997,294,3006,163
True,0,0,500,0.001,0.8567765567765568,1386,8,3292,774
True,0,0,500,0.005,0.9139194139194139,1714,24,3276,446
True,0,0,500,0.01,0.9351648351648352,1842,36,3264,318
True,0,0,500,0.05,0.9575091575091575,2047,119,3181,113
True,0,0,500,0.1,0.9452380952380952,2096,235,3065,64
True,0,0,1000,0.001,0.9752747252747253,2026,1,3299,134
True,0,0,1000,0.005,0.9888278388278389,2112,13,3287,48
True,0,0,1000,0.01,0.9901098901098901,2126,20,3280,34
True,0,0,1000,0.05,0.9818681318681318,2152,91,3209,8
True,0,0,1000,0.1,0.9648351648351648,2157,189,3111,3
True,0,0,1000,0.001,0.9652014652014652,1980,10,3290,180
True,0,0,1000,0.005,0.9847985347985349,2094,17,3283,66
True,0,0,1000,0.01,0.987912087912088,2121,27,3273,39
True,0,0,1000,0.05,0.9749084249084249,2154,131,3169,6
True,0,0,1000,0.1,0.9560439560439561,2160,240,3060,0
True,0,0,1000,0.001,0.9802197802197802,2052,0,3300,108
True,0,0,1000,0.005,0.9877289377289378,2103,10,3290,57
True,0,0,1000,0.01,0.9891941391941392,2123,22,3278,37
True,0,0,1000,0.05,0.978021978021978,2154,114,3186,6
True,0,0,1000,0.1,0.9567765567765568,2157,233,3067,3
True,0,0,1000,0.001,0.9545787545787546,1924,12,3288,236
True,0,0,1000,0.005,0.9655677655677656,2020,48,3252,140
True,0,0,1000,0.01,0.9661172161172161,2062,87,3213,98
True,0,0,1000,0.05,0.9406593406593406,2118,282,3018,42
True,0,0,1000,0.1,0.9126373626373626,2136,453,2847,24
True,0,0,1000,0.001,0.976007326007326,2029,0,3300,131
True,0,0,1000,0.005,0.986996336996337,2093,4,3296,67
True,0,0,1000,0.01,0.9893772893772894,2116,14,3286,44
True,0,0,1000,0.05,0.9765567765567765,2150,118,3182,10
True,0,0,1000,0.1,0.9529304029304029,2156,253,3047,4
True,0,0,1000,0.001,0.9554945054945055,1919,2,3298,241
True,0,0,1000,0.005,0.9754578754578754,2036,10,3290,124
True,0,0,1000,0.01,0.9838827838827838,2094,22,3278,66
True,0,0,1000,0.05,0.9794871794871794,2147,99,3201,13
True,0,0,1000,0.1,0.9644688644688645,2158,192,3108,2
True,0,0,1000,0.001,0.9717948717948718,2009,3,3297,151
True,0,0,1000,0.005,0.984981684981685,2092,14,3286,68
True,0,0,1000,0.01,0.9875457875457876,2114,22,3278,46
True,0,0,1000,0.05,0.9758241758241758,2153,125,3175,7
True,0,0,1000,0.1,0.9529304029304029,2159,256,3044,1
True,0,0,1000,0.001,0.9743589743589743,2024,4,3296,136
True,0,0,1000,0.005,0.9851648351648352,2094,15,3285,66
True,0,0,1000,0.01,0.9880952380952381,2115,20,3280,45
True,0,0,1000,0.05,0.9752747252747253,2150,125,3175,10
True,0,0,1000,0.1,0.9498168498168498,2154,268,3032,6
True,0,0,1000,0.001,0.9734432234432234,2015,0,3300,145
True,0,0,1000,0.005,0.9871794871794872,2091,1,3299,69
True,0,0,1000,0.01,0.9928571428571429,2125,4,3296,35
True,0,0,1000,0.05,0.9923076923076923,2155,37,3263,5
True,0,0,1000,0.1,0.98003663003663,2160,109,3191,0
True,0,0,1000,0.001,0.967032967032967,1986,6,3294,174
True,0,0,1000,0.005,0.9798534798534798,2077,27,3273,83
True,0,0,1000,0.01,0.9822344322344322,2116,53,3247,44
True,0,0,1000,0.05,0.9628205128205128,2156,199,3101,4
True,0,0,1000,0.1,0.9271062271062271,2159,397,2903,1
