linear,b,d,nsamples,accuracy,trueneg,falseneg,truepos,falsepos
False,0.01,0.05,1000,0.835016835016835,647,7,593,238
False,0.01,0.05,1000,0.8383838383838383,647,2,598,238
False,0.01,0.05,1000,0.795959595959596,586,4,596,299
False,0.01,0.05,1000,0.8080808080808081,614,14,586,271
False,0.01,0.05,1000,0.8410774410774411,656,7,593,229
False,0.05,0.01,1000,0.8383838383838383,646,1,599,239
False,0.05,0.01,1000,0.8377104377104377,645,1,599,240
False,0.05,0.01,1000,0.8127946127946128,615,8,592,270
False,0.05,0.01,1000,0.8316498316498316,642,7,593,243
False,0.05,0.01,1000,0.8188552188552188,621,5,595,264
False,0.05,0.01,1000,0.8175084175084175,615,1,599,270
False,0.05,0.01,1000,0.8276094276094276,629,0,600,256
False,0.05,0.01,1000,0.8141414141414142,610,1,599,275
False,0.05,0.01,1000,0.8397306397306398,654,7,593,231
False,0.05,0.01,1000,0.8053872053872053,599,3,597,286
False,0.05,0.05,1000,0.8565656565656565,691,19,581,194
False,0.05,0.05,1000,0.7973063973063973,594,10,590,291
False,0.05,0.05,1000,0.8390572390572391,654,8,592,231
False,0.05,0.05,1000,0.8141414141414142,611,2,598,274
False,0.05,0.05,1000,0.8511784511784511,665,1,599,220
False,0.05,0.05,1000,0.832996632996633,644,7,593,241
False,0.05,0.05,1000,0.8208754208754209,631,12,588,254
False,0.05,0.05,1000,0.8296296296296296,637,5,595,248
False,0.05,0.05,1000,0.8538720538720539,668,0,600,217
False,0.05,0.05,1000,0.8410774410774411,651,2,598,234
False,0.01,0.01,2000,0.8915824915824916,725,1,599,160
False,0.01,0.01,2000,0.8996632996632996,737,1,599,148
False,0.01,0.01,2000,0.8915824915824916,726,2,598,159
False,0.01,0.01,2000,0.8767676767676768,710,8,592,175
False,0.01,0.01,2000,0.9037037037037037,745,3,597,140
False,0.01,0.01,2000,0.9117845117845118,755,1,599,130
False,0.01,0.01,2000,0.8875420875420875,742,24,576,143
False,0.01,0.01,2000,0.8848484848484849,716,2,598,169
False,0.01,0.01,2000,0.9131313131313131,758,2,598,127
False,0.01,0.01,2000,0.8956228956228957,730,0,600,155
False,0.01,0.05,2000,0.8949494949494949,729,0,600,156
False,0.01,0.05,2000,0.8922558922558923,728,3,597,157
False,0.01,0.05,2000,0.8828282828282829,724,13,587,161
False,0.01,0.05,2000,0.8962962962962963,736,5,595,149
False,0.01,0.05,2000,0.9097643097643098,754,3,597,131
False,0.01,0.05,2000,0.8936026936026936,729,2,598,156
False,0.01,0.05,2000,0.9178451178451178,764,1,599,121
False,0.01,0.05,2000,0.901010101010101,738,0,600,147
False,0.01,0.05,2000,0.9090909090909091,754,4,596,131
False,0.01,0.05,2000,0.8727272727272728,697,1,599,188
False,0.05,0.01,2000,0.9158249158249159,762,2,598,123
False,0.05,0.01,2000,0.8956228956228957,732,2,598,153
False,0.05,0.01,2000,0.9077441077441077,749,1,599,136
False,0.05,0.01,2000,0.8794612794612795,707,1,599,178
False,0.05,0.01,2000,0.8787878787878788,705,0,600,180
False,0.05,0.01,2000,0.8909090909090909,729,6,594,156
False,0.05,0.01,2000,0.8841750841750842,713,0,600,172
False,0.05,0.01,2000,0.8929292929292929,729,3,597,156
False,0.05,0.01,2000,0.8875420875420875,719,1,599,166
False,0.05,0.01,2000,0.9057239057239057,747,2,598,138
False,0.05,0.05,2000,0.8929292929292929,740,14,586,145
False,0.05,0.05,2000,0.9077441077441077,759,11,589,126
False,0.05,0.05,2000,0.9171717171717172,763,1,599,122
False,0.05,0.05,2000,0.898989898989899,737,2,598,148
False,0.05,0.05,2000,0.8855218855218855,723,8,592,162
False,0.05,0.05,2000,0.8976430976430977,735,2,598,150
False,0.05,0.05,2000,0.8936026936026936,732,5,595,153
False,0.05,0.05,2000,0.9050505050505051,750,6,594,135
False,0.05,0.05,2000,0.9151515151515152,760,1,599,125
False,0.05,0.05,2000,0.8976430976430977,733,0,600,152
False,0.01,0.01,10000,0.9481481481481482,812,4,596,73
False,0.01,0.01,10000,0.9178451178451178,769,6,594,116
False,0.01,0.01,10000,0.9750841750841751,854,6,594,31
False,0.01,0.01,10000,0.9569023569023569,824,3,597,61
False,0.01,0.01,10000,0.9683501683501683,844,6,594,41
False,0.01,0.01,10000,0.9777777777777777,858,6,594,27
False,0.01,0.01,10000,0.9367003367003367,797,6,594,88
False,0.01,0.01,10000,0.9441077441077441,803,1,599,82
False,0.01,0.01,10000,0.9784511784511785,859,6,594,26
False,0.01,0.01,10000,0.9636363636363636,831,0,600,54
False,0.01,0.05,10000,0.958922558922559,824,0,600,61
False,0.01,0.05,10000,0.9515151515151515,816,3,597,69
False,0.01,0.05,10000,0.9468013468013468,806,0,600,79
False,0.01,0.05,10000,0.9461279461279462,808,3,597,77
False,0.01,0.05,10000,0.9387205387205387,794,0,600,91
False,0.01,0.05,10000,0.9494949494949495,815,5,595,70
False,0.01,0.05,10000,0.962962962962963,830,0,600,55
False,0.01,0.05,10000,0.9016835016835016,745,6,594,140
False,0.01,0.05,10000,0.967003367003367,840,4,596,45
False,0.01,0.05,10000,0.9905723905723905,871,0,600,14
False,0.05,0.01,10000,0.9744107744107744,850,3,597,35
False,0.05,0.01,10000,0.9548821548821549,822,4,596,63
False,0.05,0.01,10000,0.9077441077441077,748,0,600,137
False,0.05,0.01,10000,0.969023569023569,855,16,584,30
False,0.05,0.01,10000,0.9764309764309764,850,0,600,35
False,0.05,0.01,10000,0.9750841750841751,850,2,598,35
False,0.05,0.01,10000,0.9845117845117846,863,1,599,22
False,0.05,0.01,10000,0.9757575757575757,850,1,599,35
False,0.05,0.01,10000,0.9326599326599326,787,2,598,98
False,0.05,0.01,10000,0.971043771043771,845,3,597,40
False,0.05,0.05,10000,0.9771043771043771,856,5,595,29
False,0.05,0.05,10000,0.9595959595959596,825,0,600,60
False,0.05,0.05,10000,0.9407407407407408,798,1,599,87
False,0.05,0.05,10000,0.9858585858585859,869,5,595,16
False,0.05,0.05,10000,0.9050505050505051,744,0,600,141
False,0.05,0.05,10000,0.9528619528619529,817,2,598,68
False,0.05,0.05,10000,0.9488215488215488,811,2,598,74
False,0.05,0.05,10000,0.896969696969697,741,9,591,144
False,0.05,0.05,10000,0.9434343434343434,805,4,596,80
False,0.05,0.05,10000,0.9191919191919192,770,5,595,115
True,0,0,200,0.6,301,10,590,584
True,0,0,200,0.5683501683501684,244,0,600,641
True,0,0,200,0.5488215488215489,226,11,589,659
True,0,0,200,0.591919191919192,284,5,595,601
True,0,0,200,0.5178451178451178,174,5,595,711
True,0,0,200,0.5764309764309764,263,7,593,622
True,0,0,200,0.6323232323232324,340,1,599,545
True,0,0,200,0.5535353535353535,223,1,599,662
True,0,0,200,0.5562289562289562,229,3,597,656
True,0,0,200,0.5582491582491582,237,8,592,648
True,0.1,0,200,0.5468013468013468,224,12,588,661
True,0.1,0,200,0.591919191919192,281,2,598,604
True,0.1,0,200,0.48350168350168354,124,6,594,761
True,0.1,0,200,0.5474747474747474,218,5,595,667
True,0.1,0,200,0.6,297,6,594,588
True,0.1,0,200,0.6134680134680135,314,3,597,571
True,0.1,0,200,0.5892255892255892,290,15,585,595
True,0.1,0,200,0.5016835016835017,154,9,591,731
True,0.1,0,200,0.6336700336700336,343,2,598,542
True,0.1,0,200,0.604040404040404,305,8,592,580
True,0.05,0,200,0.5966329966329966,286,0,600,599
True,0.05,0,200,0.5858585858585859,273,3,597,612
